統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,09007,10804,百萬美元,3758,新臺幣億元
外銷訂單金額,09008,11410,百萬美元,3949,新臺幣億元
外銷訂單金額,09009,10482,百萬美元,3625,新臺幣億元
外銷訂單金額,09010,11978,百萬美元,4138,新臺幣億元
外銷訂單金額,09011,11787,百萬美元,4066,新臺幣億元
外銷訂單金額,09012,11438,百萬美元,3968,新臺幣億元
外銷訂單金額,09101,11322,百萬美元,3965,新臺幣億元
外銷訂單金額,09102,10159,百萬美元,3562,新臺幣億元
外銷訂單金額,09103,12713,百萬美元,4452,新臺幣億元
外銷訂單金額,09104,12913,百萬美元,4508,新臺幣億元
外銷訂單金額,09105,13139,百萬美元,4527,新臺幣億元
外銷訂單金額,09106,12381,百萬美元,4208,新臺幣億元
外銷訂單金額,09107,12628,百萬美元,4218,新臺幣億元
外銷訂單金額,09108,12995,百萬美元,4416,新臺幣億元
外銷訂單金額,09109,12787,百萬美元,4423,新臺幣億元
外銷訂單金額,09110,13455,百萬美元,4703,新臺幣億元
外銷訂單金額,09111,13416,百萬美元,4657,新臺幣億元
外銷訂單金額,09112,13041,百萬美元,4545,新臺幣億元
外銷訂單金額,09201,13016,百萬美元,4505,新臺幣億元
外銷訂單金額,09202,11164,百萬美元,3884,新臺幣億元
外銷訂單金額,09203,13489,百萬美元,4684,新臺幣億元
外銷訂單金額,09204,13503,百萬美元,4702,新臺幣億元
外銷訂單金額,09205,13708,百萬美元,4759,新臺幣億元
外銷訂單金額,09206,13826,百萬美元,4787,新臺幣億元
外銷訂單金額,09207,14500,百萬美元,4990,新臺幣億元
外銷訂單金額,09208,14385,百萬美元,4939,新臺幣億元
外銷訂單金額,09209,15400,百萬美元,5235,新臺幣億元
外銷訂單金額,09210,16137,百萬美元,5470,新臺幣億元
外銷訂單金額,09211,15181,百萬美元,5169,新臺幣億元
外銷訂單金額,09212,15715,百萬美元,5352,新臺幣億元
外銷訂單金額,09301,13934,百萬美元,4694,新臺幣億元
外銷訂單金額,09302,15037,百萬美元,4996,新臺幣億元
外銷訂單金額,09303,17239,百萬美元,5742,新臺幣億元
外銷訂單金額,09304,18032,百萬美元,5952,新臺幣億元
外銷訂單金額,09305,17251,百萬美元,5780,新臺幣億元
外銷訂單金額,09306,17702,百萬美元,5956,新臺幣億元
外銷訂單金額,09307,18537,百萬美元,6282,新臺幣億元
外銷訂單金額,09308,18061,百萬美元,6162,新臺幣億元
外銷訂單金額,09309,19495,百萬美元,6613,新臺幣億元
外銷訂單金額,09310,20245,百萬美元,6844,新臺幣億元
外銷訂單金額,09311,19752,百萬美元,6474,新臺幣億元
外銷訂單金額,09312,19797,百萬美元,6380,新臺幣億元
外銷訂單金額,09401,18422,百萬美元,5884,新臺幣億元
外銷訂單金額,09402,16192,百萬美元,5103,新臺幣億元
外銷訂單金額,09403,20900,百萬美元,6513,新臺幣億元
外銷訂單金額,09404,20813,百萬美元,6561,新臺幣億元
外銷訂單金額,09405,19520,百萬美元,6111,新臺幣億元
外銷訂單金額,09406,20658,百萬美元,6481,新臺幣億元
外銷訂單金額,09407,20154,百萬美元,6433,新臺幣億元
外銷訂單金額,09408,22152,百萬美元,7113,新臺幣億元
外銷訂單金額,09409,23779,百萬美元,7829,新臺幣億元
外銷訂單金額,09410,24612,百萬美元,8243,新臺幣億元
